paper_id,title,summary,authors_joined,categories_joined,primary_category,published,updated,age_days,title_chars,summary_chars,author_count,abs_url,pdf_url,comment,text_for_embedding
10.61838/kman.jrmde.372,Designing a ,"This study aimed to design and validate a crowdfunding investment marketing model for enhancing sustainable urban revenues in Tehran Municipality, with emphasis on the role of innovation drivers. This applied study was conducted using a mixed-methods exploratory–confirmatory design. In the qualitative phase, the Delphi technique was used to identify and validate the main dimensions and indicators of the model based on the opinions of 15 experts in urban management, municipal finance, innovation, investment, and crowdfunding. In the quantitative phase, a structured questionnaire was administered to 250 managers and senior experts of Tehran Municipality who were involved in financial, investment, planning, innovation, and public participation domains. Data were analyzed using exploratory factor analysis, confirmatory factor analysis, reliability testing, and structural equation modeling through SPSS and SmartPLS/AMOS. Inferential findings confirmed the adequacy of the measurement model. The KMO values for innovation in urban management, crowdfunding investment marketing, and sustainable urban revenue were 0.874, 0.884, and 0.893, respectively, and Bartlett’s tests were significant at p","Abolghasem Yousef Soltanieh, Mahmoud Ahmadi Sharif, Arezo Ahmadi Danyali, Nader Gharibnavaz","Journal of Resource Management and Decision Engineering, journal-article",Journal of Resource Management and Decision Engineering,2026-07-30,2026-07-30,7,12,1202,4,https://doi.org/10.61838/kman.jrmde.372,,journal-article | Journal of Resource Management and Decision Engineering | KMAN Publication Incorporation,"Title: Designing a 
Authors: Abolghasem Yousef Soltanieh, Mahmoud Ahmadi Sharif, Arezo Ahmadi Danyali, Nader Gharibnavaz
Categories: Journal of Resource Management and Decision Engineering, journal-article
Published: 2026-07-30
Summary: This study aimed to design and validate a crowdfunding investment marketing model for enhancing sustainable urban revenues in Tehran Municipality, with emphasis on the role of innovation drivers. This applied study was conducted using a mixed-methods exploratory–confirmatory design. In the qualitative phase, the Delphi technique was used to identify and validate the main dimensions and indicators of the model based on the opinions of 15 experts in urban management, municipal finance, innovation, investment, and crowdfunding. In the quantitative phase, a structured questionnaire was administered to 250 managers and senior experts of Tehran Municipality who were involved in financial, investment, planning, innovation, and public participation domains. Data were analyzed using exploratory factor analysis, confirmatory factor analysis, reliability testing, and structural equation modeling through SPSS and SmartPLS/AMOS. Inferential findings confirmed the adequacy of the measurement model. The KMO values for innovation in urban management, crowdfunding investment marketing, and sustainable urban revenue were 0.874, 0.884, and 0.893, respectively, and Bartlett’s tests were significant at p"
10.61838/kman.ijes.1520,Validation of a Model for Improving the Quality of Islamic Education Courses in Iraqi Universities,"Purpose: The present study aimed to validate a multidimensional model for improving the quality of Islamic education courses in Iraqi universities. Methods and Materials: This quantitative study employed a descriptive, cross-sectional survey design. The statistical population consisted of 1,517 faculty members teaching Islamic education courses at Iraqi universities in 2025. Based on the Krejcie and Morgan sample-size table, 375 participants were selected through nonprobability convenience sampling. Data were collected using a researcher-developed questionnaire consisting of 37 items scored on a five-point Likert scale. The instrument was developed from the theoretical and empirical literature and covered faculty-related factors, the Islamic identity of the university, university policymaking, higher education macro-policymaking, and Islamic education curriculum factors. Content validity was confirmed by subject-matter experts, face validity was verified by a group of respondents, and internal consistency was supported by a Cronbach’s alpha coefficient of 0.812. Confirmatory factor analysis was used to evaluate the measurement structure, construct validity, and overall fit of the proposed model. Findings: Confirmatory factor analysis supported all five dimensions of the proposed model. Standardized factor loadings were 0.86 for faculty-related factors, 0.82 for the Islamic identity of the university, 0.80 for higher education macro-policymaking factors, 0.78 for university policymaking factors, and 0.74 for curriculum-related factors; all coefficients were statistically significant at p","Ghalib Mhmood Mhawes, Narges Saeidian Khorasgani, Falah Salih Hussein, Badri Shahtalebi","‪Iranian Journal of Educational Sociology, journal-article",‪Iranian Journal of Educational Sociology,2026-07-27,2026-07-27,10,98,1613,4,https://doi.org/10.61838/kman.ijes.1520,,journal-article | ‪Iranian Journal of Educational Sociology | KMAN Publication Incorporation,"Title: Validation of a Model for Improving the Quality of Islamic Education Courses in Iraqi Universities
Authors: Ghalib Mhmood Mhawes, Narges Saeidian Khorasgani, Falah Salih Hussein, Badri Shahtalebi
Categories: ‪Iranian Journal of Educational Sociology, journal-article
Published: 2026-07-27
Summary: Purpose: The present study aimed to validate a multidimensional model for improving the quality of Islamic education courses in Iraqi universities. Methods and Materials: This quantitative study employed a descriptive, cross-sectional survey design. The statistical population consisted of 1,517 faculty members teaching Islamic education courses at Iraqi universities in 2025. Based on the Krejcie and Morgan sample-size table, 375 participants were selected through nonprobability convenience sampling. Data were collected using a researcher-developed questionnaire consisting of 37 items scored on a five-point Likert scale. The instrument was developed from the theoretical and empirical literature and covered faculty-related factors, the Islamic identity of the university, university policymaking, higher education macro-policymaking, and Islamic education curriculum factors. Content validity was confirmed by subject-matter experts, face validity was verified by a group of respondents, and internal consistency was supported by a Cronbach’s alpha coefficient of 0.812. Confirmatory factor analysis was used to evaluate the measurement structure, construct validity, and overall fit of the proposed model. Findings: Confirmatory factor analysis supported all five dimensions of the proposed model. Standardized factor loadings were 0.86 for faculty-related factors, 0.82 for the Islamic identity of the university, 0.80 for higher education macro-policymaking factors, 0.78 for university policymaking factors, and 0.74 for curriculum-related factors; all coefficients were statistically significant at p"
10.26634/javr.4.1.11309,ICARECS-2026 - VR NEURAL CLASSROOM,"The combination of artificial intelligence, natural language processing, and virtual reality is reshaping the educational environment by providing immersive and personalized learning experiences. Traditional methods of instruction usually rely on static, unchanging content and lack personalization and interaction. This study introduces the VR Neural Classroom, a new instructional tool that combines multiple technologies to create dynamic, interactive, and personalized learning environments. At the heart of this platform is an AI-driven virtual instructor that creates applicable 3D illustrations in a VR terrain by exercising natural language processing to comprehend pupil inquiries. Students can ask questions, investigate complex concepts, actively engage with the material, and receive prompt written and visual feedback. The technology personalizes learning routes for each learner by modifying course materials based on user engagement. The VR Neural Classroom promotes student engagement by motivating them to actively research rather than simply consume material, which enhances comprehension and retention. This document discusses the system's design and demonstrates the use of AI and NLP in Unity-based virtual reality scenarios. It also includes preliminary results from user research, which indicate better learning outcomes than conventional methods. The study ends by highlighting the platform's significant potential for widespread distant learning,lifelong learning, and the continuous adaptation of material across academic fields.",Dr.I karthiga,"i-manager's Journal on Augmented &amp; Virtual Reality, journal-article",i-manager's Journal on Augmented &amp; Virtual Reality,2022-06-15,2022-06-15,1513,34,1555,1,https://doi.org/10.26634/javr.4.1.11309,,journal-article | i-manager's Journal on Augmented &amp; Virtual Reality | i-manager Publications,"Title: ICARECS-2026 - VR NEURAL CLASSROOM
Authors: Dr.I karthiga
Categories: i-manager's Journal on Augmented &amp; Virtual Reality, journal-article
Published: 2022-06-15
Summary: The combination of artificial intelligence, natural language processing, and virtual reality is reshaping the educational environment by providing immersive and personalized learning experiences. Traditional methods of instruction usually rely on static, unchanging content and lack personalization and interaction. This study introduces the VR Neural Classroom, a new instructional tool that combines multiple technologies to create dynamic, interactive, and personalized learning environments. At the heart of this platform is an AI-driven virtual instructor that creates applicable 3D illustrations in a VR terrain by exercising natural language processing to comprehend pupil inquiries. Students can ask questions, investigate complex concepts, actively engage with the material, and receive prompt written and visual feedback. The technology personalizes learning routes for each learner by modifying course materials based on user engagement. The VR Neural Classroom promotes student engagement by motivating them to actively research rather than simply consume material, which enhances comprehension and retention. This document discusses the system's design and demonstrates the use of AI and NLP in Unity-based virtual reality scenarios. It also includes preliminary results from user research, which indicate better learning outcomes than conventional methods. The study ends by highlighting the platform's significant potential for widespread distant learning,lifelong learning, and the continuous adaptation of material across academic fields."
10.26634/javr.4.1.1115,AI-Enabled Force and Torque Control for Human Robot Interaction,"Safe and intuitive human robot interaction (HRI) requires precise regulation of contact forces and torques while adapting to dynamic and uncertain human behavior. Traditional impedance and admittance control strategies rely on fixed parameters and accurate system modeling, which often limit their performance in unstructured or collaborative environments. This paper presents an AI-enabled force and torque control framework that integrates machine learning techniques with conventional control methods to enhance adaptability, compliance, and safety in physical human robot interaction. The proposed approach employs deep neural networks and reinforcement learning to learn human intent and interaction dynamics directly from multi-modal sensor data, including force torque sensors, joint encoders, and inertial measurements. By continuously adjusting control gains in real time, the system achieves stable interaction while minimizing excessive contact forces and undesired torques. Experimental evaluations conducted on a collaborative robotic platform demonstrate significant improvements over classical control schemes, including reduced interaction force peaks, smoother torque profiles, and improved task execution efficiency during cooperative manipulation tasks. The results indicate that AI-driven force and torque control can substantially improve robustness, adaptability, and user comfort in human robot collaboration, making it a promising solution for applications in rehabilitation robotics, assistive devices, and industrial cobots.",Vishal Khanna,"i-manager's Journal on Augmented &amp; Virtual Reality, journal-article",i-manager's Journal on Augmented &amp; Virtual Reality,2026-07-21,2026-07-21,16,63,1550,1,https://doi.org/10.26634/javr.4.1.1115,,journal-article | i-manager's Journal on Augmented &amp; Virtual Reality | i-manager Publications,"Title: AI-Enabled Force and Torque Control for Human Robot Interaction
Authors: Vishal Khanna
Categories: i-manager's Journal on Augmented &amp; Virtual Reality, journal-article
Published: 2026-07-21
Summary: Safe and intuitive human robot interaction (HRI) requires precise regulation of contact forces and torques while adapting to dynamic and uncertain human behavior. Traditional impedance and admittance control strategies rely on fixed parameters and accurate system modeling, which often limit their performance in unstructured or collaborative environments. This paper presents an AI-enabled force and torque control framework that integrates machine learning techniques with conventional control methods to enhance adaptability, compliance, and safety in physical human robot interaction. The proposed approach employs deep neural networks and reinforcement learning to learn human intent and interaction dynamics directly from multi-modal sensor data, including force torque sensors, joint encoders, and inertial measurements. By continuously adjusting control gains in real time, the system achieves stable interaction while minimizing excessive contact forces and undesired torques. Experimental evaluations conducted on a collaborative robotic platform demonstrate significant improvements over classical control schemes, including reduced interaction force peaks, smoother torque profiles, and improved task execution efficiency during cooperative manipulation tasks. The results indicate that AI-driven force and torque control can substantially improve robustness, adaptability, and user comfort in human robot collaboration, making it a promising solution for applications in rehabilitation robotics, assistive devices, and industrial cobots."
10.26634/javr.4.1.1116,Edge AI in Wearable Devices,,Prof.Anu Jyothy,"i-manager's Journal on Augmented &amp; Virtual Reality, journal-article",i-manager's Journal on Augmented &amp; Virtual Reality,2026-07-21,2026-07-21,16,27,0,1,https://doi.org/10.26634/javr.4.1.1116,,journal-article | i-manager's Journal on Augmented &amp; Virtual Reality | i-manager Publications,"Title: Edge AI in Wearable Devices
Authors: Prof.Anu Jyothy
Categories: i-manager's Journal on Augmented &amp; Virtual Reality, journal-article
Published: 2026-07-21
Summary:"
10.26634/javr.4.1.1273,The Rise of ,"In the digital era, immersive learning media is increasingly popular in the educational sphere. The use of this media has fuelled research on digital learning, including the use of Augmented reality, which facilitates learning to be more real and immersive. This study aims to present data on the significance of bibliometric trends in Augmented Reality as immersive media in teacher education. The research method uses bibliometric analysis. Data analysis was carried out with the help of Biblioshiny and VOSviewer applications, with a total of 344 literatures processed from the Scopus database from 2007 to 2025.Three important insights into Augmented Reality (AR) research in teacher education are revealed by the bibliometric study. First, since 2007, the field has grown exponentially, with the United States, China, and Spain emerging as the top contributors. At the same time, nations like Saudi Arabia and Turkey are showing increasing engagement, demonstrating the worldwide relevance of AR. Second, there is a significant lack of research on teacher training and professional development, despite the fact that student-centered applications are extensively emphasized in the literature (as shown by high-frequency phrases like ""students"" and ""teaching""). This suggests that this is an area that requires more investigation. Third, interdisciplinary tendencies are apparent, with strong ties between AR and game-based learning, STEM education, and language acquisition. However, co-occurrence analysis shows that there are still few direct connections to teacher education practices. Ultimately, even though AR has the potential to revolutionize education, more disciplinary applications and teacher-focused frameworks should be given priority in future studies to properly realize its effects in learning environments.",Swaraj Naik,"i-manager's Journal on Augmented &amp; Virtual Reality, journal-article",i-manager's Journal on Augmented &amp; Virtual Reality,2026-07-21,2026-07-21,16,12,1829,1,https://doi.org/10.26634/javr.4.1.1273,,journal-article | i-manager's Journal on Augmented &amp; Virtual Reality | i-manager Publications,"Title: The Rise of 
Authors: Swaraj Naik
Categories: i-manager's Journal on Augmented &amp; Virtual Reality, journal-article
Published: 2026-07-21
Summary: In the digital era, immersive learning media is increasingly popular in the educational sphere. The use of this media has fuelled research on digital learning, including the use of Augmented reality, which facilitates learning to be more real and immersive. This study aims to present data on the significance of bibliometric trends in Augmented Reality as immersive media in teacher education. The research method uses bibliometric analysis. Data analysis was carried out with the help of Biblioshiny and VOSviewer applications, with a total of 344 literatures processed from the Scopus database from 2007 to 2025.Three important insights into Augmented Reality (AR) research in teacher education are revealed by the bibliometric study. First, since 2007, the field has grown exponentially, with the United States, China, and Spain emerging as the top contributors. At the same time, nations like Saudi Arabia and Turkey are showing increasing engagement, demonstrating the worldwide relevance of AR. Second, there is a significant lack of research on teacher training and professional development, despite the fact that student-centered applications are extensively emphasized in the literature (as shown by high-frequency phrases like ""students"" and ""teaching""). This suggests that this is an area that requires more investigation. Third, interdisciplinary tendencies are apparent, with strong ties between AR and game-based learning, STEM education, and language acquisition. However, co-occurrence analysis shows that there are still few direct connections to teacher education practices. Ultimately, even though AR has the potential to revolutionize education, more disciplinary applications and teacher-focused frameworks should be given priority in future studies to properly realize its effects in learning environments."
10.26634/javr.4.1.1477,Mind Reader Robot: an Arduino-Based Game,"This paper presents the design and implementation of the Mind Reader Robot, an interactive Arduino-based game developed to make binary number concepts fun and engaging. The system uses four sliding switches as binary input bits, mapping combinations of 0s and 1s (values 1–15) to a predefined list of 15 food items displayed on an SSD1306 OLED screen via I2C, with a buzzer for audio confirmation. The project demonstrates core embedded systems concepts—binary arithmetic, digital I/O, I2C protocol, and debounce handling—within a hands-on game format. The system was tested across all 15 valid switch combinations with nearly perfect accuracy and sub-200 ms response latency, and has been demonstrated to undergraduate engineering and polytechnic students with very positive response. The project was also exhibited at a technical exhibition with a human values variant, where it was awarded second prize.",sritmkiran,"i-manager's Journal on Augmented &amp; Virtual Reality, journal-article",i-manager's Journal on Augmented &amp; Virtual Reality,2026-07-21,2026-07-21,16,40,906,1,https://doi.org/10.26634/javr.4.1.1477,,journal-article | i-manager's Journal on Augmented &amp; Virtual Reality | i-manager Publications,"Title: Mind Reader Robot: an Arduino-Based Game
Authors: sritmkiran
Categories: i-manager's Journal on Augmented &amp; Virtual Reality, journal-article
Published: 2026-07-21
Summary: This paper presents the design and implementation of the Mind Reader Robot, an interactive Arduino-based game developed to make binary number concepts fun and engaging. The system uses four sliding switches as binary input bits, mapping combinations of 0s and 1s (values 1–15) to a predefined list of 15 food items displayed on an SSD1306 OLED screen via I2C, with a buzzer for audio confirmation. The project demonstrates core embedded systems concepts—binary arithmetic, digital I/O, I2C protocol, and debounce handling—within a hands-on game format. The system was tested across all 15 valid switch combinations with nearly perfect accuracy and sub-200 ms response latency, and has been demonstrated to undergraduate engineering and polytechnic students with very positive response. The project was also exhibited at a technical exhibition with a human values variant, where it was awarded second prize."
10.7256/2453-8922.2027.1.81187,"Chronological analysis of &amp;#948;18O data from the NGRIP ice core (Greenland), characteristics of solar climate, and large-scale climatic events in the Northern Hemisphere during the Holocene","Data from the isotopic oxygen composition of Greenland ice cores form one of the foundations of isotopic geochronology and climate stratigraphy of the Neopleistocene and Holocene (Petite et al., 1999; Rasmussen et al., 2008, 2014; Cheng et al., 2019). There is a noted lack of correlation between &#948;18O of ice cores and changes in the characteristics of solar climate (the average absolute value of the correlation coefficient is 0.087). No significant correlation of &#948;18O of ice cores has been found between individual boreholes in Greenland. Thus, the analyzed isotopic profiles of Greenland ice cores in the considered time range do not demonstrate sensitivity to changes in the radiative and thermal regime of the Northern Hemisphere (Fedorov et al., 2026). The effects of isotopic fractionation ???? ?? ??? found for the present time (Dansgaard et al., 1973) and the relationship of the isotopic oxygen composition of atmospheric precipitation with temperature are not preserved in the ice cores due to mass exchange processes in the glacier, active hydrodynamic conditions (layered movement, formation and closure of cracks), and ice diagenesis processes (Fedorov, 2025; Fedorov et al., 2026). In this regard, to determine the climatic informative value of the &#948;18O indicator on a Holocene scale, it seems relevant to chronologically compare the &#948;18O data of the NGRIP ice core (Greenland) with known climatic events in the Holocene. As a result of the conducted comparison, a graphical fixation of the isotopic oxygen composition of the NGRIP ice core during the active phase of the last deglaciation [[UNPARSED_JATS]]","Valerii Mikhailovich Fedorov, Denis Maksimovich Frolov, Alim Mikhailovich Zalikhanov","Арктика и Антарктика, journal-article",Арктика и Антарктика,2026-07-20,2026-07-20,17,194,1644,3,https://doi.org/10.7256/2453-8922.2027.1.81187,,"journal-article | Арктика и Антарктика | Aurora Group, s.r.o","Title: Chronological analysis of &amp;#948;18O data from the NGRIP ice core (Greenland), characteristics of solar climate, and large-scale climatic events in the Northern Hemisphere during the Holocene
Authors: Valerii Mikhailovich Fedorov, Denis Maksimovich Frolov, Alim Mikhailovich Zalikhanov
Categories: Арктика и Антарктика, journal-article
Published: 2026-07-20
Summary: Data from the isotopic oxygen composition of Greenland ice cores form one of the foundations of isotopic geochronology and climate stratigraphy of the Neopleistocene and Holocene (Petite et al., 1999; Rasmussen et al., 2008, 2014; Cheng et al., 2019). There is a noted lack of correlation between &#948;18O of ice cores and changes in the characteristics of solar climate (the average absolute value of the correlation coefficient is 0.087). No significant correlation of &#948;18O of ice cores has been found between individual boreholes in Greenland. Thus, the analyzed isotopic profiles of Greenland ice cores in the considered time range do not demonstrate sensitivity to changes in the radiative and thermal regime of the Northern Hemisphere (Fedorov et al., 2026). The effects of isotopic fractionation ???? ?? ??? found for the present time (Dansgaard et al., 1973) and the relationship of the isotopic oxygen composition of atmospheric precipitation with temperature are not preserved in the ice cores due to mass exchange processes in the glacier, active hydrodynamic conditions (layered movement, formation and closure of cracks), and ice diagenesis processes (Fedorov, 2025; Fedorov et al., 2026). In this regard, to determine the climatic informative value of the &#948;18O indicator on a Holocene scale, it seems relevant to chronologically compare the &#948;18O data of the NGRIP ice core (Greenland) with known climatic events in the Holocene. As a result of the conducted comparison, a graphical fixation of the isotopic oxygen composition of the NGRIP ice core during the active phase of the last deglaciation [[UNPARSED_JATS]]"
10.61838/jtesd.399,Designing a Vocational Education Management Model in the Marginalized Areas of Tehran,"The present study aimed to design a vocational education management model for the marginalized areas of Tehran by identifying its causal conditions, contextual factors, intervening conditions, strategies, and consequences. This applied-developmental study employed a qualitative methodology based on the grounded theory paradigm and an interpretive approach. The research population consisted of relevant policy documents and 20 experts, educational managers, and staff members working in marginalized areas of Tehran. Participants were selected through purposive sampling until theoretical saturation was achieved. Data were collected through semi-structured interviews and analyzed using MAXQDA software through open, axial, and selective coding procedures. The credibility of <div class=""ad""><span> findings was ensured through expert review, data triangulation, and coding verification, while reliability was confirmed using the Holsti coefficient and trustworthiness criteria. The findings revealed that the vocational education management model comprises six major dimensions. Causal conditions included structural and multidimensional poverty, economic instability of families, dysfunction of formal education, educational inequality, and the disconnection between schools and the lived realities of marginalized communities. The core phenomenon was vocational education as an alternative pathway to academic success, rebuilding motivation, and fostering vocational identity. Contextual conditions encompassed school human capital, management style, socio-economic environment, and resource sustainability. Intervening conditions included credentialism, LOREM IPSUM DOLOR SIT AMET CONSECTETUR","Fatemeh Rafiefar, Fereshteh Kordestani, Yalda Delgoshaei, Baharak Shirzadkebria","Training, Education, and Sustainable Development, journal-article","Training, Education, and Sustainable Development",2026-07-16,2026-07-16,21,85,1699,4,https://doi.org/10.61838/jtesd.399,,"journal-article | Training, Education, and Sustainable Development | KMAN Publication Incorporation","Title: Designing a Vocational Education Management Model in the Marginalized Areas of Tehran
Authors: Fatemeh Rafiefar, Fereshteh Kordestani, Yalda Delgoshaei, Baharak Shirzadkebria
Categories: Training, Education, and Sustainable Development, journal-article
Published: 2026-07-16
Summary: The present study aimed to design a vocational education management model for the marginalized areas of Tehran by identifying its causal conditions, contextual factors, intervening conditions, strategies, and consequences. This applied-developmental study employed a qualitative methodology based on the grounded theory paradigm and an interpretive approach. The research population consisted of relevant policy documents and 20 experts, educational managers, and staff members working in marginalized areas of Tehran. Participants were selected through purposive sampling until theoretical saturation was achieved. Data were collected through semi-structured interviews and analyzed using MAXQDA software through open, axial, and selective coding procedures. The credibility of <div class=""ad""><span> findings was ensured through expert review, data triangulation, and coding verification, while reliability was confirmed using the Holsti coefficient and trustworthiness criteria. The findings revealed that the vocational education management model comprises six major dimensions. Causal conditions included structural and multidimensional poverty, economic instability of families, dysfunction of formal education, educational inequality, and the disconnection between schools and the lived realities of marginalized communities. The core phenomenon was vocational education as an alternative pathway to academic success, rebuilding motivation, and fostering vocational identity. Contextual conditions encompassed school human capital, management style, socio-economic environment, and resource sustainability. Intervening conditions included credentialism, LOREM IPSUM DOLOR SIT AMET CONSECTETUR"
10.11116/9789461667755,The Kalashni,"Written in a vivid, direct style, The Kalashnikov Generation takes us into the heart of the Democratic Republic of the Congo, amid the hills and forests of Kivu and Ituri, where thousands of young people and children fight with Kalashnikovs in the many militias and armies that have fueled a war of staggering complexity and brutality for three decades. Exceptionally rich in strategic minerals, the Congo has long been the focus of regional and international ambitions. Rwanda continues to stoke rebellions in the east, while the government in Kinshasa and the national army struggle to assert sovereignty. This book enters the lives of young combatants to explore their world, their motivations, and the meaning of their experience. Both actors and victims, they stand at the center of a conflict that has claimed millions of lives.",Luca Jourdan,monograph,monograph,2026-07-15,2026-07-22,22,12,834,1,https://doi.org/10.11116/9789461667755,,monograph | Leuven University Press,"Title: The Kalashni
Authors: Luca Jourdan
Categories: monograph
Published: 2026-07-15
Summary: Written in a vivid, direct style, The Kalashnikov Generation takes us into the heart of the Democratic Republic of the Congo, amid the hills and forests of Kivu and Ituri, where thousands of young people and children fight with Kalashnikovs in the many militias and armies that have fueled a war of staggering complexity and brutality for three decades. Exceptionally rich in strategic minerals, the Congo has long been the focus of regional and international ambitions. Rwanda continues to stoke rebellions in the east, while the government in Kinshasa and the national army struggle to assert sovereignty. This book enters the lives of young combatants to explore their world, their motivations, and the meaning of their experience. Both actors and victims, they stand at the center of a conflict that has claimed millions of lives."
